time,wind_speed,wind_direction
2014-09-05 07:00,4.290945167683358,207.46975850555143
2014-09-05 08:00,4.0610368362528915,211.68665900190052
2014-09-05 09:00,3.706455909582587,214.15848838002236
2014-09-05 10:00,3.583264365,213.5371753304905
2014-09-05 11:00,3.7540393303365946,213.02909489238422
2014-09-05 12:00,3.937330495501196,213.1663009
2014-09-05 13:00,3.9250382257984366,207.76842227789777
2014-09-05 14:00,4.229532518292047,205.39099589327986
2014-09-05 15:00,4.432824653122452,205.14012905477463
2014-09-05 16:00,4.885348449357689,208.61650952551696
2014-09-05 17:00,5.136050253674359,210.08962626935764
2014-09-05 18:00,5.375579628,208.8353962056494
2014-09-05 19:00,,
2014-09-05 20:00,,
2014-09-05 21:00,,
2014-09-05 22:00,5.744121717354293,210.6490420303288
